simulation,time,ratio
0,4484.218857654063,0.93
0,4697.589072129249,0.93
0,7749.663825512097,0.99
0,11.24978746479478,0.01
0,17.955700771939348,0.01
0,38.13852248806633,0.01
0,59.91084333059581,0.01
0,64.8492412036171,0.01
0,88.2168310137817,0.01
0,98.44602187978921,0.01
0,100.42696377192635,0.01
0,108.28175214538807,0.01
0,114.0063195063797,0.01
0,127.98837708206177,0.01
0,128.01959801441387,0.01
0,138.74808678665255,0.01
0,141.8600219425167,0.01
0,159.87931652837122,0.01
0,183.4794766782734,0.01
0,216.69390942506803,0.01
0,219.41379943195543,0.01
0,232.85458538283626,0.01
0,234.20175714257513,0.01
0,240.83026321562593,0.01
0,241.59188110436563,0.01
0,268.7125370790885,0.01
0,321.6887026924389,0.01
0,361.0521519580929,0.01
0,379.2271414229459,0.01
0,384.406976904806,0.01
0,390.35204443737524,0.01
0,391.4107715576724,0.01
0,397.56547970817616,0.01
0,420.9309704096637,0.01
0,452.6873543143338,0.01
0,465.60985717881846,0.01
0,467.83414368212533,0.01
0,494.8409508811198,0.01
0,497.8167392207879,0.01
0,517.3557496279001,0.01
0,532.0789519769146,0.01
0,542.311506008785,0.01
0,554.5634764467311,0.4
0,572.4829403943031,0.4
0,578.8808965681658,0.4
0,600.4802141507861,0.4
0,601.2272811687272,0.4
0,641.819697566624,0.4
0,664.0374448014016,0.4
0,670.3405355537627,0.4
0,672.7686248417458,0.4
0,750.7672586037339,0.4
0,796.8069962031176,0.4
0,808.4168531637115,0.4
0,849.3320907640176,0.4
0,870.0747095390576,0.4
0,878.4632809685451,0.4
0,900.1341547992348,0.4
0,960.2296281204112,0.4
0,1025.1167768265507,0.4
0,1034.3939598835439,0.4
0,1035.5049774123545,0.4
0,1041.9764039553506,0.4
0,1045.7589040904752,0.4
0,1083.5917852152497,0.4
0,1088.8570485772354,0.63
0,1109.0708572005424,0.63
0,1258.7003436920634,0.63
0,1299.693749020612,0.63
0,1373.2036912474634,0.63
0,1374.3796337366896,0.63
0,1425.5902875322843,0.63
0,1433.2157563925682,0.63
0,1489.0294244959762,0.63
0,1506.4164435732425,0.63
0,1584.8686081916592,0.63
0,1618.556010040136,0.63
0,1636.4887508346312,0.63
0,1674.566999420416,0.63
0,1904.6364148793984,0.63
0,1997.8950815371606,0.63
0,2055.756659552078,0.63
0,2104.4459066051345,0.63
0,2145.1354371808166,0.63
0,2175.6742731660675,0.63
0,2261.350733909884,0.63
0,2345.1205365169985,0.63
0,2419.584608908476,0.63
0,2433.0998164938237,0.63
0,2602.094599823275,0.63
0,2665.0265601610604,0.63
0,2771.0347365340936,0.89
0,2851.5343141790863,0.89
0,2953.0161819299665,0.89
0,3138.496787240598,0.89
0,3186.166712229211,0.89
0,3202.853479657674,0.89
0,3272.0168900483804,0.89
0,4243.549930410768,0.89
0,4579.826011149769,0.89
0,6013.772121270974,0.98
0,6098.104859727583,0.98
1,14983.796234133555,0.94
1,12405.779293312777,0.94
2,8532.677057166764,0.93
2,8532.677057166764,0.93
2,8532.677057166764,0.93
2,8532.677057166764,0.93
2,8532.677057166764,0.93
2,8532.677057166764,0.93
2,17847.369947780964,0.82
2,13175.24925670829,0.93
3,2087.6133293991084,0.93
3,2087.6133293991084,0.93
3,2087.6133293991084,0.93
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,5940.70440752928,0.85
3,6910.088380969222,0.85
3,6910.088380969222,0.85
3,6910.088380969222,0.85
3,6910.088380969222,0.85
3,6910.088380969222,0.85
3,7142.52041792576,0.85
3,7142.52041792576,0.85
3,7142.52041792576,0.85
3,7142.52041792576,0.85
3,7221.58032820948,0.85
3,7221.58032820948,0.85
3,7221.58032820948,0.85
3,7221.58032820948,0.85
3,14389.245290662542,0.23
3,411.2134836114169,0.93
3,411.2134836114169,0.93
3,1150.6600345760546,0.91
3,1705.2883693885747,0.9
3,1705.2883693885747,0.9
3,3668.78354505987,0.86
3,3668.78354505987,0.86
3,3668.78354505987,0.86
3,3668.78354505987,0.86
3,3668.78354505987,0.86
3,3668.78354505987,0.86
3,3668.78354505987,0.86
3,3668.78354505987,0.86
3,3756.3961031915405,0.86
3,3756.3961031915405,0.86
3,3756.3961031915405,0.86
3,3756.3961031915405,0.86
3,3756.3961031915405,0.86
3,4129.024944260082,0.86
3,5321.859099260694,0.59
3,5321.859099260694,0.59
3,5321.859099260694,0.59
3,5321.859099260694,0.59
3,5321.859099260694,0.59
3,5456.952666620647,0.59
3,5456.952666620647,0.59
3,5456.952666620647,0.59
3,5456.952666620647,0.59
3,5456.952666620647,0.59
3,5456.952666620647,0.59
3,6780.078862937168,0.59
3,6780.078862937168,0.59
3,6780.078862937168,0.59
3,10682.68136969526,0.33
4,46.53041300660744,0.93
4,80.56059588894473,0.92
4,118.82997402436402,0.92
4,118.82997402436402,0.92
4,118.82997402436402,0.92
4,118.82997402436402,0.92
4,118.82997402436402,0.92
4,118.82997402436402,0.92
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,730.8535219697046,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
4,1076.6977171845492,0.84
