param_0,param_1,param_2,param_3,param_4,param_5,param_6,mse,rmse
0.000134256,1.849239642,0.8187289,84476800000000.0,6868090000000.0,32586733278.0,592.7520951,0.003732091,0.061090841
0.000619245,1.962821976,1.092739376,86865600000000.0,3104830000000.0,1975933819.0,545.4626021,0.003768455,0.061387739
0.000353328,1.645670199,1.032349975,1283820000000.0,2691260000000.0,24152545231.0,123.9615857,0.003846636,0.062021257
0.000558842,1.876052072,1.037381828,45743900000000.0,2038390000000.0,24891237071.0,640.9282935,0.003855727,0.062094503
0.000334731,1.874392814,1.027543415,38921300000000.0,6977530000000.0,22497769432.0,295.8842808,0.003892091,0.062386624
0.000635247,1.823004688,1.196391305,37189800000000.0,6267870000000.0,21193498030.0,349.4299315,0.003908455,0.062517634
2.46e-05,1.690193946,1.035549928,19587200000000.0,969114000000.0,46540639920.0,110.5281754,0.004092091,0.063969453
0.00090346,2.196472373,1.088999049,77426000000000.0,2302480000000.0,6091104449.0,503.3734337,0.004148455,0.064408497
0.000719686,1.806537048,1.279057458,78656500000000.0,5622900000000.0,37322984246.0,514.0370653,0.004155727,0.064464931
0.000691021,1.995814191,1.148688454,97390300000000.0,8538500000000.0,24091290407.0,521.37849,0.004184818,0.064690171
0.000483719,1.921587773,1.040626059,63305300000000.0,1229370000000.0,43488303567.0,435.8146652,0.004310273,0.065652667
0.000613044,1.902058145,1.129332368,93615800000000.0,9762660000000.0,11546130094.0,323.9010419,0.004324818,0.06576335
0.000480382,1.791494116,1.149759311,78505600000000.0,9527700000000.0,40157053828.0,375.4171645,0.004750273,0.068922222
0.000364211,2.051297489,1.045095331,68599300000000.0,8169180000000.0,37480873857.0,703.3296446,0.004830273,0.069500164
0.000700114,1.763589395,1.23944589,13593900000000.0,8777890000000.0,21307686384.0,298.7665205,0.005092091,0.071358888
,,,,,,0.003254688,0.056625834,0.000454955
